date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),Dow Jones Industrial Average
2016-10-31,2.370675392636176,1.161076004015907,1.7169629791224892
2016-11-30,2.371268974306722,1.1450089743652478,1.8033015266979198
2016-12-31,2.4421132871285143,1.1514345114572633,1.8635593728538433
2017-01-31,2.485504546908953,1.1538435218398932,1.8731296035295117
2017-02-28,2.530511524090754,1.1683021123506805,1.9625375670247702
2017-03-31,2.5820816858720166,1.1683021123506803,1.9484853867578675
2017-04-30,2.6042109819701325,1.171114133868751,1.9746330787871877
2017-05-31,2.5728540741282737,1.1763351657694523,1.9810584952640817
2017-06-30,2.672668585752456,1.1811531865347131,2.0132119808862017
2017-07-31,2.7023801037090083,1.1911899567735222,2.0518139144867384
2017-08-31,2.7487604325169377,1.1972083988013027,2.057154543785169
2017-09-30,2.702716999025166,1.1992175629068171,2.099987365531215
2017-10-31,2.697465186842376,1.2092498080012442,2.191105174805856
2017-11-30,2.6900047642202924,1.2164719384345803,2.2719302670835164
2017-12-31,2.7480226884767016,1.2216894299067833,2.3137580043422328
2018-01-31,2.80395112248517,1.2461704610122646,2.4476241734636752
2018-02-28,2.753718438977438,1.2293142981900986,2.342772621558553
2018-03-31,2.632625984071316,1.223295856162318,2.256089135985736
2018-04-30,2.683873432793115,1.220083003651247,2.261708974742003
2018-05-31,2.6740133857365547,1.2281106097845418,2.285361157542158
2018-06-30,2.6485977908495384,1.2196847909456494,2.271842281599992
2018-07-31,2.664969586974735,1.2305225117400362,2.391926664093962
2018-08-31,2.7119296446326677,1.2337308391067252,2.4436545737568816
2018-09-30,2.709627018303256,1.2329298885511482,2.4900989202073207
2018-10-31,2.7762813446290533,1.1988148250568367,2.363746091726425
2018-11-30,2.8159453863373924,1.2056633798038838,2.4212176164008494
2018-12-31,2.7991130626278653,1.187956500532267,2.2778874725643714
2019-01-31,2.7963932277097343,1.220866795132401,2.441175983636596
2019-02-28,2.8171884933101956,1.2315622995315598,2.530654076310849
2019-03-31,2.8856133908464643,1.2369100517311389,2.5318922571137366
2019-04-30,2.878780847262379,1.2451342119223214,2.5967532062227026
2019-05-31,2.9181803121126015,1.2290909553235831,2.4231471727819405
2019-06-30,3.004469878240686,1.2513057455245598,2.597441626937241
2019-07-31,3.0821876817291987,1.2476144622804668,2.6058068164565746
2019-08-31,3.1408441572555246,1.2439203242631303,2.5610912561856902
2019-09-30,3.0381037772442965,1.249259330622749,2.61090508290018
2019-10-31,3.0366379572979225,1.2611687226810993,2.6234567510471063
2019-11-30,3.064527513955634,1.2710243012291949,2.7318793020872305
2019-12-31,3.1132679929099383,1.2923190512252056,2.782826931768148
2020-01-31,3.153039714378299,1.2847658125297574,2.755288700743584
2020-02-29,3.089986894855983,1.2658827157911352,2.477705555278855
2020-03-31,2.972691928441702,1.1945551776399652,2.1371757922252095
2020-04-30,3.1740336615502707,1.2314785791035425,2.3739883921225715
2020-05-31,3.0989388357568695,1.2558147679522083,2.475145877631483
2020-06-30,2.955156386566298,1.2721785999148443,2.517053407631931
2020-07-31,3.03515669118946,1.2948337603686828,2.5770659033004897
2020-08-31,3.107373424739566,1.3111975923313202,2.7722576570939093
2020-09-30,3.289946575413236,1.3002914081112338,2.7090359594804867
2020-10-31,3.2323335003459173,1.2944146421781046,2.584211548176664
2020-11-30,3.247858337398255,1.3422882055706244,2.906323154238804
2020-12-31,3.4057194855736657,1.3711388396013033,3.0012280756646983
2021-01-31,3.327600611549508,1.3728577174963326,2.9400531496845694
2021-02-28,3.3186882870434453,1.375431462855114,3.033184289392977
